ymdh,rf
2017031322,0
2017031323,0
2017031324,0
2017031401,0
2017031402,0
2017031403,0
2017031404,0
2017031405,0
2017031406,0
2017031407,0
2017031408,0
2017031409,0
2017031410,0
2017031411,0
2017031412,0
2017031413,0
2017031414,0
2017031415,0
2017031416,0
2017031417,0
2017031418,0
2017031419,0
2017031420,0
2017031421,0
2017031422,0
2017031423,0
2017031424,0
2017031501,0
2017031502,0
2017031503,0
2017031504,0
2017031505,0
2017031506,0
2017031507,0
2017031508,0
2017031509,0
2017031510,0
2017031511,0
2017031512,0
2017031513,0
2017031514,0
2017031515,0
2017031516,0
2017031517,0
2017031518,0
2017031519,0
2017031520,0
2017031521,0
2017031522,0
2017031523,0
2017031524,0
2017031601,0
2017031602,0
2017031603,0
2017031604,0
2017031605,0
2017031606,0
2017031607,0
2017031608,0
2017031609,0
2017031610,0
2017031611,0
2017031612,0
2017031613,0
2017031614,0
2017031615,0
2017031616,0
2017031617,0
2017031618,0
2017031619,0
2017031620,0
2017031621,0
2017031622,0
2017031623,0
2017031624,0
2017031701,0
2017031702,0
2017031703,0
2017031704,0
2017031705,0
2017031706,0
2017031707,0
2017031708,0
2017031709,0
2017031710,0
2017031711,0
2017031712,0
2017031713,0
2017031714,0
2017031715,0
2017031716,0
2017031717,0
2017031718,0
2017031719,0
2017031720,0
2017031721,0
2017031722,0
2017031723,0
2017031724,0
2017031801,0
2017031802,0
2017031803,0
2017031804,0
2017031805,0
2017031806,0
2017031807,0
2017031808,0
2017031809,0
2017031810,0
2017031811,0
2017031812,0
2017031813,0
2017031814,0
2017031815,0
2017031816,0
2017031817,0
2017031818,0
2017031819,0
2017031820,0
2017031821,0
2017031822,0
2017031823,0
2017031824,0
2017031901,0
2017031902,0
2017031903,0
2017031904,0
2017031905,0
2017031906,0
2017031907,0
2017031908,0
2017031909,0
2017031910,0
2017031911,0
2017031912,0
2017031913,0
2017031914,0
2017031915,0
2017031916,0
2017031917,0
2017031918,0
2017031919,0
2017031920,0
2017031921,0
2017031922,0
2017031923,0
2017031924,0
2017032001,0
2017032002,0
2017032003,0
2017032004,0
2017032005,0
2017032006,0
2017032007,0
2017032008,0
2017032009,0
2017032010,0
2017032011,0
2017032012,0
2017032013,0
2017032014,0
2017032015,0
2017032016,0
2017032017,0
2017032018,0
2017032019,0
2017032020,1
2017032021,1
2017032022,0
2017032023,1
2017032024,0
2017032101,1
2017032102,0
2017032103,1
2017032104,0
2017032105,1
2017032106,0
2017032107,0
2017032108,0
2017032109,0
2017032110,0
2017032111,0
2017032112,0
2017032113,0
2017032114,0
2017032115,0
2017032116,0
2017032117,0
2017032118,0
2017032119,0
2017032120,0
2017032121,0
2017032122,0
2017032123,0
2017032124,0
2017032201,0
2017032202,0
2017032203,0
2017032204,0
2017032205,0
2017032206,0
2017032207,0
2017032208,0
2017032209,0
2017032210,0
2017032211,0
2017032212,0
2017032213,0
2017032214,0
2017032215,0
2017032216,0
2017032217,0
2017032218,0
2017032219,0
2017032220,0
2017032221,0
2017032222,0
2017032223,0
2017032224,0
2017032301,0
2017032302,0
2017032303,0
2017032304,0
2017032305,0
2017032306,0
2017032307,0
2017032308,0
2017032309,0
2017032310,0
2017032311,0
2017032312,0
2017032313,0
2017032314,0
2017032315,0
2017032316,0
2017032317,0
2017032318,0
2017032319,0
2017032320,0
2017032321,0
2017032322,0
2017032323,0
2017032324,0
2017032401,0
2017032402,0
2017032403,0
2017032404,0
2017032405,0
2017032406,0
2017032407,0
2017032408,0
2017032409,0
2017032410,0
2017032411,0
2017032412,0
2017032413,0
2017032414,0
2017032415,0
2017032416,0
2017032417,0
2017032418,0
2017032419,0
2017032420,0
2017032421,0
2017032422,0
2017032423,0
2017032424,0
2017032501,0
2017032502,0
2017032503,0
2017032504,1
2017032505,0
2017032506,0
2017032507,0
2017032508,0
2017032509,0
2017032510,0
2017032511,0
2017032512,0
2017032513,0
2017032514,0
2017032515,0
2017032516,0
2017032517,0
2017032518,1
2017032519,1
2017032520,1
2017032521,0
2017032522,1
2017032523,0
2017032524,0
2017032601,1
2017032602,1
2017032603,0
2017032604,0
2017032605,0
2017032606,0
2017032607,0
2017032608,0
2017032609,0
2017032610,0
2017032611,0
2017032612,0
2017032613,0
2017032614,0
2017032615,0
2017032616,0
2017032617,3
2017032618,6
2017032619,0
2017032620,0
2017032621,0
2017032622,0
2017032623,0
2017032624,0
2017032701,0
2017032702,0
2017032703,0
2017032704,0
2017032705,0
2017032706,0
2017032707,0
2017032708,0
2017032709,0
2017032710,0
2017032711,0
2017032712,0
2017032713,0
2017032714,0
2017032715,0
2017032716,0
2017032717,0
2017032718,0
2017032719,0
2017032720,0
2017032721,0
2017032722,0
2017032723,0
2017032724,0
2017032801,0
2017032802,0
2017032803,0
2017032804,0
2017032805,0
2017032806,0
2017032807,0
2017032808,0
2017032809,0
2017032810,0
2017032811,0
2017032812,0
2017032813,0
2017032814,0
2017032815,0
2017032816,0
2017032817,0
2017032818,0
2017032819,0
2017032820,0
2017032821,0
2017032822,0
2017032823,0
2017032824,0
2017032901,1
2017032902,1
2017032903,0
2017032904,0
2017032905,0
2017032906,0
2017032907,0
2017032908,0
2017032909,0
2017032910,0
2017032911,0
2017032912,0
2017032913,0
2017032914,0
2017032915,0
2017032916,0
2017032917,0
2017032918,0
2017032919,0
2017032920,0
2017032921,0
2017032922,0
2017032923,0
2017032924,0
2017033001,0
2017033002,0
2017033003,0
2017033004,0
2017033005,0
2017033006,0
2017033007,0
2017033008,0
2017033009,0
2017033010,0
2017033011,0
2017033012,0
2017033013,0
2017033014,0
2017033015,0
2017033016,0
2017033017,0
2017033018,0
2017033019,0
2017033020,0
2017033021,0
2017033022,0
2017033023,0
2017033024,0
2017033101,0
2017033102,0
2017033103,0
2017033104,0
2017033105,0
2017033106,0
2017033107,0
2017033108,0
2017033109,0
2017033110,0
2017033111,0
2017033112,0
2017033113,0
2017033114,0
2017033115,0
2017033116,0
2017033117,0
2017033118,0
2017033119,0
2017033120,0
2017033121,0
2017033122,0
2017033123,0
2017033124,0
2017040101,0
2017040102,0
2017040103,0
2017040104,0
2017040105,0
2017040106,0
2017040107,0
2017040108,0
2017040109,0
2017040110,0
2017040111,0
2017040112,1
2017040113,0
2017040114,0
2017040115,5
2017040116,1
